               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.033581,            0.023107,           0.0020912,              0.7273,             0.82361,             0.77651,             0.52956,            0.025172,            0.018887,          0.00078827,            0.005809,            0.005809,            0.005809
                 129,            0.033689,            0.023042,           0.0021614,             0.72803,             0.82352,             0.77757,             0.53066,             0.02514,            0.018857,          0.00078467,            0.005776,            0.005776,            0.005776
                 130,            0.033674,            0.023055,           0.0021669,             0.72827,             0.82426,             0.77876,             0.53175,            0.025107,            0.018826,          0.00078116,            0.005743,            0.005743,            0.005743
                 131,            0.033677,            0.022999,           0.0020528,             0.72909,             0.82449,             0.77999,             0.53301,            0.025077,            0.018797,          0.00077728,             0.00571,             0.00571,             0.00571
                 132,            0.033608,            0.022983,           0.0021537,             0.72947,             0.82531,             0.78128,             0.53404,            0.025046,            0.018772,          0.00077405,            0.005677,            0.005677,            0.005677
                 133,            0.033574,            0.022898,           0.0021317,             0.73018,             0.82556,             0.78241,             0.53502,            0.025012,            0.018744,          0.00077072,            0.005644,            0.005644,            0.005644
                 134,            0.033461,            0.022901,           0.0021201,             0.73017,             0.82662,             0.78375,             0.53614,            0.024977,            0.018716,          0.00076748,            0.005611,            0.005611,            0.005611
                 135,            0.033565,            0.023019,           0.0021264,             0.73066,             0.82685,             0.78505,              0.5374,            0.024944,            0.018687,          0.00076433,            0.005578,            0.005578,            0.005578
                 136,            0.033308,            0.022947,           0.0020802,             0.73132,             0.82779,             0.78637,             0.53857,             0.02491,            0.018654,          0.00076085,            0.005545,            0.005545,            0.005545
                 137,            0.033407,             0.02267,            0.002099,             0.73213,             0.82786,             0.78771,             0.53984,            0.024876,            0.018624,          0.00075749,            0.005512,            0.005512,            0.005512
                 138,            0.033444,             0.02298,           0.0020643,             0.73311,             0.82834,             0.78897,             0.54108,            0.024844,            0.018592,          0.00075411,            0.005479,            0.005479,            0.005479
                 139,            0.033382,             0.02295,           0.0021138,             0.73413,             0.82881,             0.79031,             0.54228,            0.024812,             0.01856,          0.00075068,            0.005446,            0.005446,            0.005446
                 140,            0.033287,            0.022761,           0.0020439,             0.73486,             0.82914,             0.79158,              0.5434,            0.024779,             0.01853,           0.0007474,            0.005413,            0.005413,            0.005413
                 141,            0.033269,            0.022888,           0.0020298,             0.73599,             0.82932,             0.79294,             0.54459,            0.024746,              0.0185,          0.00074425,             0.00538,             0.00538,             0.00538
                 142,            0.033323,            0.022868,           0.0020143,             0.73652,             0.82948,             0.79424,             0.54586,            0.024713,            0.018472,           0.0007409,            0.005347,            0.005347,            0.005347
                 143,            0.033268,            0.022749,           0.0020796,             0.73753,              0.8299,             0.79559,             0.54711,            0.024679,            0.018439,          0.00073763,            0.005314,            0.005314,            0.005314
                 144,            0.033284,            0.022786,           0.0020844,             0.73876,             0.83023,             0.79689,             0.54842,            0.024646,            0.018407,          0.00073426,            0.005281,            0.005281,            0.005281
                 145,            0.033149,            0.022769,           0.0020329,             0.73979,             0.83034,             0.79819,             0.54957,            0.024617,            0.018376,          0.00073101,            0.005248,            0.005248,            0.005248
                 146,            0.033139,            0.022532,           0.0020074,             0.74048,             0.83059,             0.79966,             0.55076,            0.024583,            0.018342,          0.00072758,            0.005215,            0.005215,            0.005215
                 147,            0.033039,            0.022587,           0.0019952,             0.74121,             0.83132,             0.80101,               0.552,            0.024549,            0.018306,          0.00072432,            0.005182,            0.005182,            0.005182
                 148,            0.033013,            0.022595,           0.0019575,             0.74157,             0.83234,             0.80225,             0.55322,             0.02452,            0.018272,          0.00072134,            0.005149,            0.005149,            0.005149
                 149,            0.032978,            0.022502,            0.001984,              0.7428,             0.83216,             0.80363,             0.55447,            0.024482,            0.018236,          0.00071799,            0.005116,            0.005116,            0.005116
                 150,            0.032761,            0.022529,            0.001985,             0.74419,             0.83194,             0.80514,             0.55565,            0.024448,            0.018205,          0.00071507,            0.005083,            0.005083,            0.005083
                 151,            0.033079,             0.02256,           0.0019584,             0.74546,             0.83226,             0.80647,             0.55698,            0.024413,            0.018173,          0.00071225,             0.00505,             0.00505,             0.00505
                 152,              0.0329,            0.022357,            0.002012,              0.7462,             0.83302,             0.80782,             0.55818,            0.024381,            0.018137,          0.00070899,            0.005017,            0.005017,            0.005017
                 153,            0.032877,              0.0225,           0.0019883,             0.74709,             0.83333,             0.80925,             0.55951,            0.024346,            0.018103,          0.00070602,            0.004984,            0.004984,            0.004984
                 154,            0.032875,            0.022359,           0.0020203,             0.74738,             0.83476,             0.81082,             0.56069,            0.024311,            0.018072,          0.00070308,            0.004951,            0.004951,            0.004951
                 155,             0.03272,            0.022228,           0.0019573,             0.74815,             0.83531,             0.81214,             0.56185,            0.024278,             0.01804,          0.00070028,            0.004918,            0.004918,            0.004918
                 156,            0.032668,            0.022252,           0.0019218,             0.74901,             0.83534,             0.81354,             0.56295,            0.024245,            0.018014,          0.00069768,            0.004885,            0.004885,            0.004885
                 157,            0.032654,            0.022319,           0.0019669,             0.74998,             0.83561,             0.81479,             0.56424,            0.024212,            0.017984,          0.00069476,            0.004852,            0.004852,            0.004852
                 158,            0.032533,              0.0225,            0.001917,             0.75121,              0.8361,             0.81639,             0.56568,            0.024176,            0.017947,          0.00069159,            0.004819,            0.004819,            0.004819
                 159,            0.032543,            0.022262,           0.0019614,              0.7522,             0.83668,             0.81788,             0.56706,            0.024139,             0.01791,          0.00068841,            0.004786,            0.004786,            0.004786
                 160,            0.032558,            0.022174,           0.0019115,             0.75314,              0.8371,             0.81928,             0.56828,            0.024107,            0.017876,          0.00068538,            0.004753,            0.004753,            0.004753
